comb_ID,combin,rain_ID,wind_ID,startime,endtime,startime.Rain,endtime.Rain,startime.Wind,endtime.Wind,rain.footprint [cells],rain.duration [h],rain.max.co [mm],rain.mean.co [mm],rain.max [mm],wind.footprint [cells],wind.duration [h],wg.max.co [m.s-1],wg.mean.co [m.s-1],wg.max [m.s-1],comp.duration.OR [h],comp.footprint.AND [cells],comp.duration.AND [h],comp.footprint.OR [cells]
1,4 2,4,2,1/3/1979 12:00,1/3/1979 19:00,1/3/1979 12:00,1/3/1979 19:00,1/3/1979 5:00,1/5/1979 11:00,54,8,16.26661821,11.69163241,16.26661821,303,55,31.34952733,28.06720375,31.34952733,55,54,8,303
2,6 2,6,2,1/4/1979 4:00,1/4/1979 8:00,1/4/1979 4:00,1/4/1979 8:00,1/3/1979 5:00,1/5/1979 11:00,47,5,10.9220634,7.700733734,10.9220634,303,55,30.9643712,23.34351657,31.34952733,55,44,5,306
3,7 6,7,6,1/9/1979 22:00,1/10/1979 12:00,1/9/1979 22:00,1/10/1979 17:00,1/9/1979 22:00,1/10/1979 12:00,838,19,20.67093185,11.04681389,21.41539269,813,15,32.34012187,25.64424841,32.34012187,20,522,15,1129
4,7 7,7,7,1/10/1979 12:00,1/10/1979 17:00,1/9/1979 22:00,1/10/1979 17:00,1/10/1979 12:00,1/11/1979 20:00,838,19,21.41539269,12.90778422,21.41539269,230,33,31.34817591,25.5402477,31.34817591,47,132,6,936
5,7 8,7,8,1/10/1979 13:00,1/10/1979 17:00,1/9/1979 22:00,1/10/1979 17:00,1/10/1979 13:00,1/11/1979 10:00,838,19,15.96526521,11.38136748,21.41539269,238,22,29.33455262,25.47323523,29.33455262,37,178,5,898
6,8 8,8,8,1/10/1979 14:00,1/10/1979 14:00,1/10/1979 14:00,1/10/1979 14:00,1/10/1979 13:00,1/11/1979 10:00,10,1,2.233878188,2.077204371,2.233878188,238,22,27.34930926,26.54723851,29.33455262,22,10,1,238
7,13 16,13,16,2/1/1979 2:00,2/1/1979 8:00,2/1/1979 0:00,2/1/1979 11:00,2/1/1979 2:00,2/1/1979 8:00,182,12,20.89942482,11.85203448,28.0468933,100,7,26.0553198,23.96948471,26.0553198,12,68,7,214
8,22 20,22,20,2/8/1979 11:00,2/8/1979 19:00,2/8/1979 11:00,2/9/1979 0:00,2/8/1979 10:00,2/8/1979 19:00,229,14,14.90854715,13.30909632,15.53925716,11,10,23.77208723,22.66705156,23.77208723,15,11,9,229
9,35 30,35,30,3/6/1979 10:00,3/6/1979 14:00,3/6/1979 10:00,3/6/1979 16:00,3/6/1979 5:00,3/6/1979 14:00,190,7,15.10953176,9.506918153,15.10953176,147,10,27.13983838,24.24629664,27.13983838,12,96,5,241
10,35 35,35,35,3/6/1979 12:00,3/6/1979 13:00,3/6/1979 10:00,3/6/1979 16:00,3/6/1979 12:00,3/6/1979 13:00,190,7,9.466102191,8.907343517,15.10953176,12,2,22.86730817,21.83718445,23.09096901,7,6,2,196
11,36 32,36,32,3/6/1979 14:00,3/6/1979 15:00,3/6/1979 14:00,3/6/1979 17:00,3/6/1979 9:00,3/6/1979 15:00,10,4,7.080804037,6.076277539,7.828734409,73,7,20.6651611,20.11513111,21.70035267,9,5,2,78
12,37 37,37,37,3/6/1979 18:00,3/6/1979 19:00,3/6/1979 16:00,3/6/1979 19:00,3/6/1979 18:00,3/6/1979 20:00,13,4,4.93415961,4.909625115,8.298111521,10,3,21.11248278,21.04862795,21.33344077,5,2,2,21
13,41 39,41,39,3/8/1979 20:00,3/8/1979 22:00,3/8/1979 20:00,3/8/1979 22:00,3/8/1979 19:00,3/9/1979 20:00,25,3,6.445137568,5.532983032,7.03743498,650,26,23.00988351,21.69445144,26.17559663,26,15,3,660
14,42 39,42,39,3/8/1979 21:00,3/9/1979 0:00,3/8/1979 21:00,3/9/1979 0:00,3/8/1979 19:00,3/9/1979 20:00,18,4,10.19148065,7.828527889,10.19148065,650,26,25.32352315,23.4155738,26.17559663,26,18,4,650
15,43 39,43,39,3/9/1979 3:00,3/9/1979 6:00,3/9/1979 3:00,3/9/1979 6:00,3/8/1979 19:00,3/9/1979 20:00,13,4,7.688466486,6.02467694,7.688466486,650,26,25.56475252,24.34379199,26.17559663,26,13,4,650
16,44 39,44,39,3/9/1979 10:00,3/9/1979 12:00,3/9/1979 10:00,3/9/1979 12:00,3/8/1979 19:00,3/9/1979 20:00,18,3,5.85779662,4.193705237,5.85779662,650,26,22.85109107,22.11422658,26.17559663,26,18,3,650
17,45 39,45,39,3/9/1979 12:00,3/9/1979 20:00,3/9/1979 12:00,3/9/1979 20:00,3/8/1979 19:00,3/9/1979 20:00,114,9,10.07277335,7.265059458,10.07277335,650,26,26.17559663,22.60318372,26.17559663,26,111,9,653
18,48 45,48,45,3/12/1979 2:00,3/12/1979 4:00,3/12/1979 2:00,3/12/1979 4:00,3/11/1979 16:00,3/12/1979 17:00,10,3,4.846430202,4.041921798,4.846430202,394,26,28.51964333,26.59001111,31.09072944,26,10,3,394
19,51 48,51,48,3/21/1979 16:00,3/22/1979 5:00,3/21/1979 16:00,3/22/1979 5:00,3/21/1979 15:00,3/22/1979 7:00,41,14,17.4690563,14.78395968,21.99331636,125,17,25.50596553,24.72152473,27.42971905,17,11,14,155
20,55 49,55,49,3/25/1979 14:00,3/25/1979 20:00,3/25/1979 14:00,3/25/1979 20:00,3/25/1979 10:00,3/25/1979 20:00,37,7,10.00858714,6.779682879,10.00858714,83,11,21.13951128,19.52699966,22.03077608,11,31,7,89
21,56 50,56,50,3/25/1979 15:00,3/25/1979 16:00,3/25/1979 15:00,3/25/1979 16:00,3/25/1979 11:00,3/25/1979 16:00,12,2,3.512397999,2.700556781,3.512397999,79,6,21.50304461,19.78861181,21.50304461,6,9,2,82
22,58 52,58,52,3/26/1979 22:00,3/26/1979 23:00,3/26/1979 22:00,3/26/1979 23:00,3/26/1979 19:00,3/27/1979 1:00,14,2,4.063556762,3.238057733,4.063556762,59,7,23.80384571,23.26575332,24.01264088,7,6,2,67
23,59 54,59,54,3/28/1979 0:00,3/28/1979 1:00,3/28/1979 0:00,3/28/1979 2:00,3/27/1979 23:00,3/28/1979 1:00,19,3,5.731406795,4.766432878,5.731406795,8,3,19.93539158,18.92182282,20.44352739,4,5,2,22
24,61 55,61,55,3/28/1979 19:00,3/29/1979 7:00,3/28/1979 19:00,3/29/1979 7:00,3/28/1979 11:00,3/29/1979 19:00,183,13,29.62379222,19.4718303,29.62379222,481,33,27.0648343,23.90628208,28.80276688,33,82,13,582
25,80 60,80,60,5/1/1979 15:00,5/1/1979 22:00,5/1/1979 8:00,5/1/1979 22:00,5/1/1979 15:00,5/1/1979 22:00,202,15,11.56615586,9.783222934,16.90600202,132,8,23.66397322,21.01699616,23.66397322,15,16,8,318
26,88 61,88,61,5/17/1979 12:00,5/17/1979 17:00,5/17/1979 12:00,5/17/1979 17:00,5/17/1979 8:00,5/17/1979 17:00,9,4,13.0758947,8.960019711,13.0758947,160,10,22.66121586,21.84555578,23.84573989,10,9,6,160
27,106 62,106,62,5/22/1979 23:00,5/23/1979 0:00,5/22/1979 23:00,5/23/1979 3:00,5/22/1979 23:00,5/23/1979 0:00,19,5,9.18358376,8.048336728,9.18358376,8,2,18.58734512,18.16088606,18.58734512,5,8,2,19
28,115 64,115,64,5/26/1979 5:00,5/26/1979 6:00,5/26/1979 1:00,5/27/1979 9:00,5/26/1979 5:00,5/26/1979 6:00,734,33,21.51625673,17.58919335,25.29258642,13,2,20.17526953,19.19933275,20.17526953,33,13,2,734
29,115 66,115,66,5/26/1979 20:00,5/26/1979 22:00,5/26/1979 1:00,5/27/1979 9:00,5/26/1979 20:00,5/26/1979 22:00,734,33,9.074293736,7.676756841,25.29258642,11,3,23.01393779,21.69427125,23.01393779,33,8,3,737
30,198 68,198,68,8/1/1979 6:00,8/1/1979 7:00,8/1/1979 0:00,8/1/1979 20:00,8/1/1979 6:00,8/1/1979 7:00,303,21,22.57718778,19.65396463,32.20016205,15,2,20.11377969,19.51009813,20.30095205,21,5,2,313
31,198 69,198,69,8/1/1979 11:00,8/1/1979 16:00,8/1/1979 0:00,8/1/1979 20:00,8/1/1979 11:00,8/1/1979 16:00,303,21,13.86719413,11.7787262,32.20016205,62,6,19.26440906,18.99682691,21.50304461,21,4,6,361
32,211 70,211,70,8/9/1979 8:00,8/9/1979 10:00,8/8/1979 20:00,8/9/1979 14:00,8/9/1979 8:00,8/9/1979 10:00,450,19,16.81331615,12.83134632,31.11320956,16,3,19.45901426,18.79300305,19.45901426,19,14,3,452
33,211 71,211,71,8/9/1979 10:00,8/9/1979 14:00,8/8/1979 20:00,8/9/1979 14:00,8/9/1979 10:00,8/9/1979 18:00,450,19,17.02570062,12.55212274,31.11320956,88,9,22.1611886,20.12003959,22.1611886,23,53,5,485
