rain_ID,start_date,end_date,rain.sum [mm],rain.max [mm],rain.mean [mm],rain.sd [mm],N_cells,footprint [cells],footprint [%],duration [h]
1,1/1/1979 11:00,1/1/1979 13:00,33.3,7.3,5.0,1.7,10,5,0.3,3
2,1/1/1979 19:00,1/1/1979 22:00,26.5,7.4,5.4,2.7,12,4,0.3,4
3,1/2/1979 0:00,1/2/1979 4:00,108.1,6.8,1.8,0.4,24,23,1.5,5
5,1/3/1979 19:00,1/4/1979 0:00,82.8,11.3,7.4,1.6,32,8,0.5,6
9,1/15/1979 2:00,1/15/1979 7:00,116.4,7.2,2.2,0.6,23,20,1.3,5
10,1/16/1979 4:00,1/16/1979 12:00,1221.0,14.5,5.9,3.0,305,107,7.2,9
11,1/20/1979 0:00,1/20/1979 1:00,65.8,4.3,2.5,0.9,21,17,1.1,2
12,1/28/1979 7:00,1/28/1979 10:00,67.8,8.0,3.2,1.2,15,10,0.7,4
14,2/1/1979 9:00,2/1/1979 14:00,527.9,8.7,2.4,0.7,88,80,5.4,6
15,2/1/1979 14:00,2/1/1979 15:00,38.7,4.3,2.3,0.6,13,12,0.8,2
16,2/1/1979 17:00,2/1/1979 19:00,55.8,6.6,2.7,0.9,13,10,0.7,3
17,2/1/1979 22:00,2/2/1979 1:00,87.5,6.6,2.4,0.9,18,15,1.0,4
18,2/2/1979 0:00,2/2/1979 2:00,63.1,7.6,3.8,1.4,13,10,0.7,3
19,2/4/1979 3:00,2/4/1979 14:00,1588.3,19.5,5.1,2.7,282,130,8.8,12
20,2/4/1979 10:00,2/4/1979 18:00,578.5,10.4,3.2,1.4,103,72,4.8,9
21,2/6/1979 14:00,2/7/1979 5:00,3187.8,20.7,5.0,3.4,566,277,18.7,15
23,2/9/1979 12:00,2/10/1979 4:00,3290.7,26.5,5.6,3.1,436,176,11.9,17
24,2/11/1979 0:00,2/11/1979 9:00,848.3,19.7,4.4,2.9,133,67,4.5,10
25,2/13/1979 4:00,2/13/1979 6:00,67.3,4.9,2.2,0.6,16,15,1.0,3
26,2/26/1979 3:00,2/26/1979 6:00,77.2,11.0,4.1,2.0,13,10,0.7,4
27,2/27/1979 7:00,2/27/1979 9:00,84.2,5.4,2.9,0.9,26,17,1.1,3
28,2/27/1979 18:00,2/28/1979 6:00,1963.2,17.6,3.8,1.6,313,179,12.1,13
29,2/28/1979 2:00,2/28/1979 8:00,325.0,11.2,3.6,1.8,62,35,2.4,7
30,2/28/1979 7:00,2/28/1979 9:00,25.4,5.5,3.9,0.8,11,5,0.3,3
31,3/1/1979 21:00,3/2/1979 1:00,1034.2,16.2,6.0,3.1,273,110,7.4,5
32,3/2/1979 15:00,3/3/1979 2:00,1163.7,35.1,10.5,7.7,198,50,3.4,12
33,3/2/1979 19:00,3/2/1979 20:00,47.1,4.1,2.1,0.4,16,16,1.1,2
34,3/5/1979 11:00,3/5/1979 15:00,123.4,10.9,2.6,0.8,16,15,1.0,5
38,3/6/1979 21:00,3/6/1979 23:00,53.6,4.6,2.1,0.2,14,14,0.9,3
39,3/6/1979 22:00,3/7/1979 1:00,184.9,6.1,2.7,1.0,53,35,2.4,4
40,3/8/1979 15:00,3/8/1979 18:00,202.9,10.7,4.7,1.9,39,23,1.5,4
46,3/10/1979 23:00,3/11/1979 1:00,216.7,7.2,3.1,1.2,51,40,2.7,3
47,3/11/1979 3:00,3/11/1979 4:00,33.0,5.7,3.7,1.5,12,8,0.5,2
49,3/19/1979 22:00,3/20/1979 6:00,283.1,13.7,4.5,2.5,60,27,1.8,9
50,3/21/1979 12:00,3/21/1979 15:00,121.2,5.2,2.6,0.5,31,30,2.0,4
52,3/24/1979 14:00,3/25/1979 9:00,13241.6,39.4,5.3,3.8,2575,1059,71.3,20
53,3/25/1979 5:00,3/25/1979 8:00,62.5,7.0,2.7,1.0,14,11,0.7,3
54,3/25/1979 5:00,3/25/1979 8:00,39.4,9.1,4.5,1.9,10,5,0.3,3
57,3/25/1979 16:00,3/25/1979 21:00,126.4,6.2,2.0,0.5,24,22,1.5,6
