wind_ID,start_date,end_date,wg.sum [m.s-1],wg.max [m.s-1],wg.mean [m.s-1],wg.sd [m.s-1],N_cells,footprint [cells],footprint [%],duration [h]
1,1/2/1979 7:00,1/2/1979 16:00,2142.6,26.3,23.8,1.6,255,90,6.1,10
3,1/4/1979 2:00,1/4/1979 11:00,115.6,23.9,23.1,0.8,27,5,0.3,9
4,1/4/1979 14:00,1/5/1979 0:00,455.8,25.9,24.0,1.2,122,19,1.3,11
5,1/7/1979 8:00,1/7/1979 20:00,3236.8,30.1,27.0,2.1,535,120,8.1,13
9,1/17/1979 17:00,1/17/1979 19:00,166.9,24.7,23.8,0.8,11,7,0.5,3
10,1/18/1979 5:00,1/18/1979 11:00,435.6,24.5,22.9,0.9,48,19,1.3,7
11,1/18/1979 5:00,1/18/1979 9:00,187.3,24.3,23.4,0.8,24,8,0.5,5
12,1/18/1979 20:00,1/19/1979 5:00,137.5,23.7,22.9,0.9,23,6,0.4,10
13,1/19/1979 0:00,1/19/1979 7:00,119.2,24.0,23.8,0.1,18,5,0.3,6
14,1/19/1979 7:00,1/20/1979 4:00,4590.0,25.4,23.4,1.4,1311,196,13.2,22
15,1/19/1979 16:00,1/20/1979 7:00,214.6,24.0,21.5,1.4,66,10,0.7,16
17,2/1/1979 16:00,2/1/1979 23:00,894.6,20.1,18.6,0.6,66,48,3.2,7
18,2/3/1979 0:00,2/3/1979 6:00,829.2,26.1,25.1,0.8,86,33,2.2,7
19,2/7/1979 14:00,2/7/1979 16:00,202.0,21.1,20.2,0.6,12,10,0.7,3
21,2/10/1979 4:00,2/10/1979 9:00,210.5,24.1,23.4,0.6,23,9,0.6,5
22,2/13/1979 7:00,2/13/1979 14:00,106.2,21.9,21.2,0.7,26,5,0.3,8
23,2/13/1979 12:00,2/15/1979 23:00,5466.4,26.3,23.8,2.0,5026,230,15.5,60
24,2/13/1979 14:00,2/13/1979 18:00,322.4,26.2,23.0,2.3,25,14,0.9,5
25,3/2/1979 18:00,3/3/1979 8:00,1308.3,23.6,21.8,1.0,293,60,4.0,15
26,3/3/1979 7:00,3/3/1979 19:00,3529.8,31.2,25.0,3.1,678,141,9.5,13
27,3/3/1979 18:00,3/4/1979 10:00,4897.7,29.7,25.6,2.2,872,191,12.9,15
28,3/4/1979 11:00,3/4/1979 23:00,2430.2,27.7,23.4,1.9,264,104,7.0,13
29,3/5/1979 10:00,3/5/1979 15:00,820.9,24.6,22.2,1.3,138,37,2.5,6
31,3/6/1979 7:00,3/6/1979 9:00,240.3,27.5,26.7,0.9,15,9,0.6,3
33,3/6/1979 11:00,3/6/1979 13:00,130.2,22.4,21.7,0.5,13,6,0.4,3
34,3/6/1979 11:00,3/6/1979 15:00,462.8,21.5,20.1,0.8,48,23,1.5,5
36,3/6/1979 17:00,3/6/1979 18:00,409.9,21.1,19.5,1.0,23,21,1.4,2
38,3/6/1979 22:00,3/6/1979 23:00,471.2,23.5,21.4,1.5,22,22,1.5,2
40,3/9/1979 4:00,3/9/1979 6:00,197.9,21.6,19.8,1.0,14,10,0.7,3
41,3/9/1979 13:00,3/9/1979 23:00,3318.1,29.0,25.7,2.2,312,129,8.7,11
42,3/11/1979 11:00,3/11/1979 12:00,202.8,21.2,20.3,0.5,14,10,0.7,2
43,3/11/1979 12:00,3/11/1979 14:00,149.6,22.6,21.4,1.0,10,7,0.5,3
44,3/11/1979 13:00,3/11/1979 15:00,228.0,25.3,22.8,1.3,11,10,0.7,3
46,3/15/1979 16:00,3/17/1979 6:00,3057.6,23.9,22.2,1.0,855,138,9.3,39
47,3/17/1979 8:00,3/17/1979 12:00,58.2,19.8,19.4,0.3,10,3,0.2,5
51,3/25/1979 23:00,3/26/1979 16:00,10310.3,27.5,22.8,1.8,1829,453,30.5,18
53,3/27/1979 14:00,3/27/1979 14:00,297.3,19.3,18.6,0.6,16,16,1.1,1
56,4/12/1979 8:00,4/12/1979 14:00,228.9,20.1,19.1,0.5,29,12,0.8,7
57,4/12/1979 10:00,4/12/1979 15:00,996.6,21.2,19.2,0.8,159,52,3.5,6
58,4/12/1979 12:00,4/12/1979 15:00,214.5,19.9,19.5,0.3,15,11,0.7,4
59,4/30/1979 4:00,4/30/1979 13:00,4313.0,28.0,25.2,1.7,570,171,11.5,10
63,5/23/1979 10:00,5/23/1979 14:00,961.7,21.1,20.0,0.5,111,48,3.2,5
65,5/26/1979 9:00,5/26/1979 11:00,523.1,19.1,18.0,0.3,32,29,2.0,3
67,5/28/1979 11:00,5/28/1979 16:00,1139.9,23.1,20.7,1.1,102,55,3.7,6
76,9/16/1979 10:00,9/16/1979 15:00,1368.0,24.1,21.7,1.1,149,63,4.2,6
77,9/20/1979 4:00,9/20/1979 17:00,4962.7,28.6,23.4,2.0,1028,212,14.3,14
78,9/20/1979 15:00,9/20/1979 17:00,212.6,23.9,23.6,0.2,16,9,0.6,3
79,9/20/1979 17:00,9/20/1979 23:00,2785.9,27.0,24.2,1.4,221,115,7.7,7
80,10/5/1979 12:00,10/5/1979 13:00,366.3,26.6,26.2,0.3,18,14,0.9,2
81,10/19/1979 15:00,10/19/1979 17:00,152.9,26.4,25.5,0.7,11,6,0.4,3
82,10/22/1979 10:00,10/22/1979 14:00,89.9,24.0,22.5,1.5,19,4,0.3,5
86,10/25/1979 11:00,10/25/1979 14:00,338.7,26.4,26.1,0.2,33,13,0.9,4
87,10/25/1979 9:00,10/25/1979 13:00,289.2,23.3,22.2,1.0,22,13,0.9,4
92,11/3/1979 23:00,11/4/1979 8:00,735.1,29.4,27.2,1.6,136,27,1.8,10
93,11/4/1979 19:00,11/5/1979 1:00,1239.5,25.7,23.4,1.6,138,53,3.6,7
94,11/4/1979 22:00,11/5/1979 9:00,1485.2,24.1,22.8,1.0,179,65,4.4,12
95,11/5/1979 11:00,11/5/1979 11:00,449.5,20.5,19.5,0.5,23,23,1.5,1
96,11/5/1979 21:00,11/6/1979 17:00,5576.1,26.0,22.5,2.2,1686,248,16.7,21
97,11/6/1979 8:00,11/6/1979 11:00,462.6,24.2,23.1,0.7,35,20,1.3,4
98,11/7/1979 12:00,11/7/1979 13:00,264.7,23.5,22.1,0.9,13,12,0.8,2
102,11/11/1979 20:00,11/12/1979 2:00,1147.8,23.3,21.3,1.3,87,54,3.6,6
103,11/13/1979 21:00,11/13/1979 23:00,193.1,25.5,24.1,1.3,10,8,0.5,3
104,11/17/1979 8:00,11/17/1979 11:00,422.8,27.4,24.9,1.1,28,17,1.1,4
108,11/18/1979 0:00,11/18/1979 5:00,1404.7,26.3,24.2,2.0,123,58,3.9,6
109,11/18/1979 2:00,11/18/1979 5:00,683.3,25.2,23.6,1.0,57,29,2.0,4
114,11/26/1979 13:00,11/26/1979 19:00,1486.0,27.2,26.1,0.5,110,57,3.8,7
116,11/30/1979 13:00,11/30/1979 23:00,1288.4,24.1,21.5,1.1,166,60,4.0,11
117,11/30/1979 13:00,11/30/1979 15:00,383.7,25.1,22.6,1.5,24,17,1.1,3
118,11/30/1979 15:00,11/30/1979 20:00,509.6,24.0,22.2,1.0,34,23,1.5,6
120,12/3/1979 7:00,12/3/1979 12:00,1735.4,28.1,23.8,2.4,176,73,4.9,6
127,12/9/1979 23:00,12/10/1979 1:00,135.8,24.7,22.6,1.8,11,6,0.4,3
131,12/13/1979 0:00,12/13/1979 7:00,974.0,26.3,24.3,1.1,132,40,2.7,8
132,12/13/1979 4:00,12/13/1979 6:00,393.4,26.0,24.6,0.7,22,16,1.1,3
139,12/16/1979 19:00,12/16/1979 20:00,270.1,26.0,24.6,0.9,13,11,0.7,2
140,12/17/1979 2:00,12/17/1979 6:00,267.7,23.6,22.3,0.9,33,12,0.8,5
141,12/17/1979 10:00,12/17/1979 14:00,184.0,19.1,18.4,0.4,28,10,0.7,5
142,12/17/1979 16:00,12/17/1979 18:00,274.0,21.8,21.1,0.5,21,13,0.9,3
147,12/29/1979 15:00,12/29/1979 17:00,102.0,20.8,20.4,0.4,10,5,0.3,3
150,1/19/1980 16:00,1/19/1980 17:00,212.2,24.2,23.6,0.5,10,9,0.6,2
153,1/31/1980 3:00,1/31/1980 6:00,355.9,20.5,18.7,1.0,21,19,1.3,4
156,2/2/1980 15:00,2/2/1980 17:00,303.1,22.8,21.6,0.8,19,14,0.9,3
157,2/2/1980 19:00,2/2/1980 20:00,339.3,21.1,20.0,1.0,26,17,1.1,2
158,2/2/1980 20:00,2/2/1980 23:00,392.7,21.8,19.6,0.9,42,20,1.3,4
161,2/4/1980 18:00,2/4/1980 22:00,417.4,23.1,22.0,1.0,52,19,1.3,5
163,2/4/1980 20:00,2/4/1980 22:00,449.0,20.0,18.7,0.6,27,24,1.6,3
164,2/5/1980 1:00,2/5/1980 2:00,141.3,17.9,17.7,0.2,11,8,0.5,2
166,2/9/1980 12:00,2/9/1980 22:00,157.0,26.5,26.2,0.3,30,6,0.4,11
168,3/6/1980 13:00,3/6/1980 14:00,305.6,20.7,19.1,1.1,16,16,1.1,2
169,3/6/1980 20:00,3/7/1980 18:00,10950.6,31.7,24.9,3.1,3087,439,29.6,23
170,3/8/1980 12:00,3/8/1980 16:00,478.0,20.1,19.1,0.7,61,25,1.7,5
172,3/18/1980 9:00,3/19/1980 0:00,1457.2,23.5,21.7,1.1,275,67,4.5,16
173,3/18/1980 11:00,3/19/1980 4:00,938.1,27.4,24.1,1.9,337,39,2.6,18
174,3/19/1980 10:00,3/19/1980 15:00,415.0,20.8,19.8,0.7,44,21,1.4,5
175,3/19/1980 10:00,3/19/1980 14:00,329.8,22.7,22.0,0.5,40,15,1.0,5
176,3/19/1980 16:00,3/19/1980 18:00,180.6,23.0,22.6,0.5,13,8,0.5,3
177,3/19/1980 17:00,3/19/1980 23:00,763.0,24.6,23.8,0.5,104,32,2.2,7
178,3/20/1980 2:00,3/20/1980 6:00,65.8,22.2,21.9,0.2,10,3,0.2,5
179,3/20/1980 3:00,3/20/1980 6:00,82.9,22.0,20.7,0.9,10,4,0.3,4
182,3/27/1980 4:00,3/27/1980 5:00,179.6,18.5,18.0,0.4,16,10,0.7,2
186,3/29/1980 8:00,3/29/1980 15:00,1240.9,20.3,19.1,0.7,262,65,4.4,8
187,3/29/1980 11:00,3/29/1980 15:00,511.9,20.4,19.7,0.4,68,26,1.8,5
189,4/7/1980 11:00,4/7/1980 16:00,156.8,24.5,22.4,1.2,25,7,0.5,6
